Nombre,Telefono,Nicho,Motivo de Falla,Link Maps
"Restaurante Capella","529999306999","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Restaurante%20Capella%20M%C3%A9rida%20Yucat%C3%A1n"
"Los Morros Altabrisa","529992289318","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Los%20Morros%20Altabrisa%20M%C3%A9rida%20Yucat%C3%A1n"
"Apolo XI Gastrobar","529999306999","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Apolo%20XI%20Gastrobar%20M%C3%A9rida%20Yucat%C3%A1n"
"Eladio's Altabrisa","529999430101","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Eladio's%20Altabrisa%20M%C3%A9rida%20Yucat%C3%A1n"
"La Burg","529992354776","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=La%20Burg%20M%C3%A9rida%20Yucat%C3%A1n"
"Restaurante La Mata","529992709120","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Restaurante%20La%20Mata%20M%C3%A9rida%20Yucat%C3%A1n"
"Ariadna Mérida","529999008324","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Ariadna%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Holoch","529992796363","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Holoch%20M%C3%A9rida%20Yucat%C3%A1n"
"Gran Lumière","529995015565","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Gran%20Lumi%C3%A8re%20M%C3%A9rida%20Yucat%C3%A1n"
"El Costeño Bistro Mérida","529991657367","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=El%20Coste%C3%B1o%20Bistro%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Jardín Mastache","529991543698","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Jard%C3%ADn%20Mastache%20M%C3%A9rida%20Yucat%C3%A1n"
"Bem Brasileiro","529999481010","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Bem%20Brasileiro%20M%C3%A9rida%20Yucat%C3%A1n"
"COCINA ECONÓMICA GABY","529993869327","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=COCINA%20ECON%C3%93MICA%20GABY%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina La Bendición","529997387205","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Cocina%20La%20Bendici%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina “El sabor de la 31”","529991911982","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Cocina%20%E2%80%9CEl%20sabor%20de%20la%2031%E2%80%9D%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina La Estufita","529992248159","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Cocina%20La%20Estufita%20M%C3%A9rida%20Yucat%C3%A1n"
"Barrio Napoli Pizzería","529995181079","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Barrio%20Napoli%20Pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Pizzeria 48","529994372893","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Pizzeria%2048%20M%C3%A9rida%20Yucat%C3%A1n"
"Nico's Pizza","529999444444","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Nico's%20Pizza%20M%C3%A9rida%20Yucat%C3%A1n"
"Mizzica Pizzería","529996888459","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Mizzica%20Pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Il calabrese pizzería","529995015476","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Il%20calabrese%20pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Pizza E Core","529999231541","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Pizza%20E%20Core%20M%C3%A9rida%20Yucat%C3%A1n"
"La Fogatta Plus","529999204040","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=La%20Fogatta%20Plus%20M%C3%A9rida%20Yucat%C3%A1n"
"Zavi Pizza","529996889580","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Zavi%20Pizza%20M%C3%A9rida%20Yucat%C3%A1n"
"Al Forno","529999440404","Restaurante","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Al%20Forno%20M%C3%A9rida%20Yucat%C3%A1n"
"You Beauty Bar","529992795643","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=You%20Beauty%20Bar%20M%C3%A9rida%20Yucat%C3%A1n"
"By Genaro Martinez Salones","529993381841","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=By%20Genaro%20Martinez%20Salones%20M%C3%A9rida%20Yucat%C3%A1n"
"Salon de Belleza LINETTE","529991963014","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Salon%20de%20Belleza%20LINETTE%20M%C3%A9rida%20Yucat%C3%A1n"
"Moreti Studio","529992875560","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Moreti%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Salón de Belleza Beauty Center","529993112956","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Belleza%20Beauty%20Center%20M%C3%A9rida%20Yucat%C3%A1n"
"Marmalade Nail Spa & Studio","529993353733","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Marmalade%20Nail%20Spa%20%26%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Palmeros Salón de Belleza y Barbi.","529991254425","Belleza","Error del Sistema","https://www.google.com/maps/search/?api=1&query=Palmeros%20Sal%C3%B3n%20de%20Belleza%20y%20Barbi.%20M%C3%A9rida%20Yucat%C3%A1n"
